Field ID	Description	Category
20016	Fluid intelligence score	Fluid intelligence  
399	Number of incorrect matches in round	Pairs matching  
10137	Number of incorrect matches in round (pilot)	Pairs matching  
20018	Prospective memory result	Prospective memory  
20023	Mean time to correctly identify matches	Reaction time  
